,lnR,lnR_2
2017-04-12,-0.01054754820536985,0.00011125077314460074
2017-04-13,0.006812019020282278,4.6403603132687534e-05
2017-04-14,-0.012122509522761504,0.00014695523712944335
2017-04-17,-0.01021378835606157,0.00010432147258241892
2017-04-18,-0.01080602903564376,0.00011677026351917603
2017-04-19,-0.0015269741269650083,2.331649984420549e-06
2017-04-20,0.0027112093387300362,7.35065607841696e-06
2017-04-21,-0.006169044338267149,3.8057108047505965e-05
2017-04-24,-0.015950263060739545,0.00025441089170679244
2017-04-25,0.00493830885800417,2.438689437704245e-05
2017-04-26,0.0008847734375798666,7.828240358468941e-07
2017-04-27,0.0122510676776173,0.00015008865924155934
2017-04-28,0.004228885595092713,1.788347337638265e-05
2017-05-02,6.483717765970454e-05,4.203859606876089e-09
2017-05-03,-0.005634886093426772,3.1751941285894425e-05
2017-05-04,-0.0012776775195071366,1.6324598438539093e-06
2017-05-05,-0.010890928672085742,0.00011861232734045931
2017-05-08,-0.01634681109163072,0.00026721823286546113
2017-05-09,0.007674352657504713,5.889568871174965e-05
2017-05-10,-0.01744401095660031,0.0003042935182539916
2017-05-11,0.0006151710397652721,3.7843540816588596e-07
2017-05-12,0.0012517480997518149,1.5668733052322795e-06
2017-05-15,0.0022570768347902614,5.094395838146825e-06
2017-05-16,0.020203381990075542,0.00040817664383690876
2017-05-17,0.004233590189505421,1.7923285892676545e-05
2017-05-18,-0.005021805583977468,2.5218531323267276e-05
2017-05-19,-0.006877708950593586,4.730288040907513e-05
2017-05-22,-0.007244066494383361,5.247649937504764e-05
2017-05-23,-0.016834797285087078,0.0002834103996299752
2017-05-24,0.010213668606358084,0.00010431902640050468
2017-05-25,0.0007934788836028162,6.296087387235714e-07
2017-05-26,-0.010211209008094357,0.00010426878940698735
2017-05-31,0.002327324968562472,5.416441509294311e-06
2017-06-01,-0.020182689645269924,0.0004073409613172858
2017-06-02,0.010039169975914142,0.00010078493380529595
2017-06-05,0.00873641925506341,7.632502140024271e-05
2017-06-06,0.0029141316219778446,8.492163110211223e-06
2017-06-07,0.018765412243640256,0.0003521406966737636
2017-06-08,-0.0028375916219154362,8.051926212764676e-06
2017-06-09,0.0007686138595213166,5.907672650482542e-07
2017-06-12,-0.011524116248101457,0.000132805255299756
2017-06-13,0.011245701207435843,0.00012646579564692397
2017-06-14,-0.0027884220551248617,7.775297557506757e-06
2017-06-15,0.014211928498977677,0.0002019789116600539
2017-06-16,-0.0034249725315813606,1.1730436842086834e-05
2017-06-19,0.0035020510360768142,1.2264361459286688e-05
2017-06-20,0.00251829746711163,6.34182213286085e-06
2017-06-21,0.0020352918836294975,4.142413051568108e-06
2017-06-22,-0.014523849933445021,0.00021094221688923095
2017-06-23,0.0050196871176932945,2.5197258759536014e-05
2017-06-26,0.00763360381812106,5.8271907252032423e-05
2017-06-27,-0.0007415117841906849,5.498397260936529e-07
2017-06-28,-0.006466163489450061,4.1811270272296985e-05
2017-06-29,0.0029543750349310116,8.728331847023617e-06
2017-06-30,0.0024892485083576332,6.196358136360702e-06
2017-07-03,0.009808346695955095,9.620366490805322e-05
2017-07-04,-0.0035356741238770084,1.250099151025345e-05
2017-07-05,0.003884199158581403,1.5087003103524478e-05
2017-07-06,0.0012841372744212265,1.6490085395579764e-06
2017-07-07,-0.0019322730897286533,3.7336792932895164e-06
2017-07-10,-0.01769364237812443,0.0003130649806049607
2017-07-11,-0.010783007946885803,0.00011627326038260238
2017-07-12,0.001590742663191591,2.5304622204978757e-06
2017-07-13,-0.004425617427508577,1.9586089614667634e-05
2017-07-14,-0.018891559809282477,0.000356891032027697
2017-07-17,-0.05241646578864323,0.002747485885772006
2017-07-18,0.0066548176956438,4.4286598562253855e-05
2017-07-19,0.010309554183073999,0.0001062869074537386
2017-07-20,0.0022766493301089596,5.183132172285574e-06
2017-07-21,0.0009056604392618794,8.202208312440204e-07
2017-07-24,-0.0021915674919084083,4.8029680715897114e-06
2017-07-25,0.0009779140392840446,9.56315868228836e-07
2017-07-26,-0.004024460824418874,1.6196284927282244e-05
2017-07-27,0.03556969105348884,0.001265202921640644
2017-07-28,-0.004671695884698401,2.1824742439107978e-05
2017-07-31,0.0012851657356023338,1.6516509679662879e-06
2017-08-01,0.0027434543875406447,7.526541976516014e-06
2017-08-02,-0.009371371853251986,8.782261041192356e-05
2017-08-03,0.0047947575193658665,2.2989699669515518e-05
2017-08-04,-0.00781991623748457,6.115108996127484e-05
2017-08-07,0.00742171104112721,5.508179477798954e-05
2017-08-08,0.01716281737795189,0.00029456230034892737
2017-08-09,0.0003573991590943848,1.2773415892137336e-07
2017-08-10,-0.005334528904224811,2.8457198630009964e-05
2017-08-11,-0.006596492263247988,4.3513710179090565e-05
2017-08-14,0.029043623953214137,0.000843532092335714
2017-08-15,0.0028340381714118124,8.031772357019208e-06
2017-08-16,0.0146921864850178,0.0002158603437105397
2017-08-17,0.004488075341068765,2.0142820267109507e-05
2017-08-18,-0.006347143216965279,4.028622701666835e-05
2017-08-21,0.004064623154944158,1.65211613917082e-05
2017-08-22,-0.007853766773027182,6.16816525251058e-05
2017-08-23,-0.00416312979120903,1.7331649658452143e-05
2017-08-24,-0.006455556665896367,4.167421186659902e-05
2017-08-25,0.009499547691148358,9.02414063364021e-05
2017-08-28,0.016385692577141953,0.0002684909212326049
2017-08-29,-0.0061179914431352955,3.742981929827669e-05
2017-08-30,0.003836286998615712,1.471709793574795e-05
